
2025/01/30 (14:17:27) | ===> btop++ v.1.4.0
2025/01/30 (14:17:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/30 (14:18:14) | ===> btop++ v.1.4.0
2025/01/30 (14:18:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/31 (13:41:44) | ===> btop++ v.1.4.0
2025/01/31 (13:41:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/31 (14:36:15) | ===> btop++ v.1.4.0
2025/01/31 (14:36:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/31 (22:46:44) | ===> btop++ v.1.4.0
2025/01/31 (22:46:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/01 (21:29:18) | ===> btop++ v.1.4.0
2025/02/01 (21:29:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
